Code,Country,PercentDeaths,Grouping,EPI,Price,PCV
SOM,Somalia ,23.8,Gavi,No,NA,
ZAF,South Africa,20.8,Other Price Point,Yes,16.17,10
KOR,South Korea,4.9,In EPI Schedule,Yes,NA,
SSD,South Sudan ,27.7,Gavi,No,NA,
ESP,Spain,3.9,In EPI Schedule,Yes,NA,
LKA,Sri Lanka ,10.5,Gavi Graduating,No,NA,
KNA,St. Kitts and Nevis,6.7,PAHO RF,No,14.12,
LCA,St. Lucia,24.9,PAHO RF,No,14.12,
VCT,St. Vincent and the Grenadines,5.9,PAHO RF,No,14.12,
SDN,Sudan ,26.5,Gavi,Yes,3.3,13
SUR,Suriname,19,PAHO RF,No,14.12,
SWZ,Swaziland,21.4,In EPI Schedule,Yes,NA,
SWE,Sweden,7.9,In EPI Schedule,Yes,NA,
CHE,Switzerland,3.6,In EPI Schedule,Yes,NA,
NA,Syria,12.8,Not in EPI Schedule,No,NA,
TJK,Tajikistan ,28.5,Gavi,No,NA,
TZA,Tanzania ,21.8,Gavi,Yes,3.3,13
THA,Thailand,15.5,Not in EPI Schedule,No,NA,
NA,Timor Leste ,28.8,Gavi Graduating,No,NA,
TGO,Togo ,19.2,Gavi,Yes,3.3,13
TON,Tonga,12.7,Not in EPI Schedule,No,NA,
TTO,Trinidad and Tobago,8.6,PAHO RF,Yes,14.12,
TUN,Tunisia,15.3,Not in EPI Schedule,No,NA,
TUR,Turkey,18.4,In EPI Schedule,Yes,NA,
TKM,Turkmenistan ,25.9,Gavi,No,NA,
TUV,Tuvalu,24.3,Not in EPI Schedule,No,NA,
UGA,Uganda ,20.6,Gavi,Yes,3.4,10
UKR,Ukraine ,14.8,Gavi Graduating,No,NA,
ARE,United Arab Emirates,9.3,GCC,Yes,26.25,13
GBR,United Kingdom,7.3,In EPI Schedule,Yes,NA,
USA,United States,6,Other Price Point,Yes,112.44,13
URY,Uruguay,23.4,PAHO RF,Yes,14.12,
UZB,Uzbekistan ,26.4,Gavi Graduating,Yes,3.3,13
VUT,Vanuatu,16.3,Not in EPI Schedule,No,NA,
VEN,Venezuela,16.2,PAHO RF,Yes,14.12,
VNM,Vietnam ,16.4,Gavi Graduating,No,NA,
YEM,Yemen ,29.3,Gavi,Yes,3.3,13
ZMB,Zambia ,19.2,Gavi,Yes,3.4,10
ZWE,Zimbabwe ,21.3,Gavi,Yes,3.3,13
